success,total_time,mouse_move_count,avg_mouse_speed,max_mouse_speed,input_change_count,final_input_length,edit_distance,time_per_character,error_rate,class
0,1965.0,2,0.1053064082954268,0.1373283395755306,5,5,1,393.0,1.0,0
1,2054.0,3,0.0685786180749835,0.1317365269461078,5,5,0,410.8,1.0,0
1,1987.0,2,0.1041992658944435,0.1347213717085119,5,5,0,397.4,1.0,0
1,2001.0,2,0.102903212353015,0.1334141904184354,5,5,0,400.2,1.0,0
1,2015.0,2,0.1028280164524826,0.1320528211284513,5,5,0,403.0,1.0,0
1,2013.0,2,0.1024261458388782,0.1320528211284513,5,5,0,402.6,1.0,0
1,2011.0,2,0.1028627838104639,0.1333333333333333,5,5,0,402.2,1.0,0
1,1982.0,3,0.146672427423141,0.2031690555695226,5,5,0,396.4,1.0,0
1,2089.0,2,0.1004734085903735,0.1269474899019042,5,5,0,417.8,1.0,0
1,1975.0,3,0.146872061904494,0.2031690555695226,5,5,0,395.0,1.0,0
1,2027.0,2,0.1028553637249289,0.1321321321321321,5,5,0,405.4,1.0,0
1,2016.0,2,0.1028280164524826,0.1320528211284513,5,5,0,403.2,1.0,0
1,1956.0,2,0.1056069179783549,0.1375859912445278,5,5,0,391.2,1.0,0
1,2084.0,2,0.0996698620947494,0.1269474899019042,5,5,0,416.8,1.0,0
1,1992.0,2,0.1050346784927564,0.1359703337453646,5,5,0,398.4,1.0,0
1,2050.0,2,0.1013634068602393,0.1295641931684334,5,5,0,410.0,1.0,0
0,2017.0,3,0.145682362710055,0.2031690555695226,5,5,1,403.4,1.0,0
1,2001.0,2,0.1037192082643994,0.1334141904184354,5,5,0,400.2,1.0,0
1,2035.0,3,0.1450599423790238,0.2038794368827028,5,5,0,407.0,1.0,0
1,1941.0,2,0.1061904356705241,0.1375,5,5,0,388.2,1.0,0
1,2020.0,2,0.1028007249955631,0.1319736052789442,5,5,0,404.0,1.0,0
1,2032.0,2,0.102610784570852,0.1307966706302021,5,5,0,406.4,1.0,0
1,2001.0,3,0.0698380647702332,0.1358863495985176,5,5,0,400.2,1.0,0
1,2018.0,2,0.103132742740148,0.132291040288635,5,5,0,403.6,1.0,0
1,1965.0,2,0.1044871164840205,0.1362229102167182,5,5,0,393.0,1.0,0
1,2000.0,2,0.1034805890227577,0.1333333333333333,5,5,0,400.0,1.0,0
1,2042.0,3,0.1452719755427879,0.2038794368827028,5,5,0,408.4,1.0,0
1,2018.0,3,0.0686491005065549,0.1331719128329297,5,5,0,403.6,1.0,0
1,2002.0,2,0.1041071023371908,0.1333333333333333,5,5,0,400.4,1.0,0
1,2067.0,2,0.1010657531676584,0.1292596944770857,5,5,0,413.4,1.0,0
1,1990.0,2,0.104174608210347,0.1347213717085119,5,5,0,398.0,1.0,0
1,1979.0,2,0.1032272811224618,0.134886572654813,5,5,0,395.8,1.0,0
1,2034.0,2,0.101887556347729,0.1305637982195845,5,5,0,406.8,1.0,0
0,2221.0,3,0.0635749459784391,0.1198257080610021,6,6,1,370.1666666666667,1.0,0
0,1852.0,2,0.1098069030312021,0.1468624833110814,4,4,1,463.0,1.0,0
1,2011.0,2,0.102903212353015,0.1334141904184354,5,5,0,402.2,1.0,0
1,1980.0,2,0.1043075722521564,0.1362229102167182,5,5,0,396.0,1.0,0
0,1794.0,2,0.1119114625212186,0.1533101045296167,4,4,1,448.5,1.0,0
1,2018.0,2,0.1028007249955631,0.1319736052789442,5,5,0,403.6,1.0,0
1,2025.0,2,0.1025650850824001,0.13189448441247,5,5,0,405.0,1.0,0
1,2022.0,2,0.102879988422157,0.1321321321321321,5,5,0,404.4,1.0,0
1,2016.0,2,0.1033288830915565,0.1334951456310679,5,5,0,403.2,1.0,0
1,2007.0,2,0.1034682725549236,0.1333333333333333,5,5,0,401.4,1.0,0
1,2022.0,2,0.102758650452181,0.1318154583582984,5,5,0,404.4,1.0,0
1,2004.0,2,0.1035087010974746,0.1334141904184354,5,5,0,400.8,1.0,0
1,10587.0,104,0.6009740867260749,4.305247524823631,7,5,0,2117.4,1.4,0
1,1976.0,2,0.0710315184569731,0.1282051282051282,5,5,0,395.2,1.0,0
1,2000.0,2,0.1035368704743968,0.1334951456310679,5,5,0,400.0,1.0,0
0,2196.0,2,0.0960850967975712,0.1189832341806381,6,6,1,366.0,1.0,0
1,2032.0,2,0.1025845194253674,0.130718954248366,5,5,0,406.4,1.0,0
1,2020.0,3,0.0695186340674634,0.1345565749235474,5,5,0,404.0,1.0,0
0,2035.0,3,0.1452981556213333,0.2024636074599062,5,5,1,407.0,1.0,0
1,2029.0,2,0.1024417274417274,0.1321321321321321,5,5,0,405.8,1.0,0
1,2104.0,2,0.0994628000950796,0.1257142857142857,5,5,0,420.8,1.0,0
1,1985.0,2,0.1045854133069203,0.1358863495985176,5,5,0,397.0,1.0,0
1,2011.0,2,0.103440209454819,0.1332525741974561,5,5,0,402.2,1.0,0
0,2320.0,2,0.0929757407396627,0.1119023397761953,6,6,2,386.6666666666667,1.0,0
1,2083.0,2,0.1003119984979567,0.1270207852193995,5,5,0,416.6,1.0,0
1,2017.0,2,0.1024537604094335,0.1321321321321321,5,5,0,403.4,1.0,0
0,1925.0,2,0.106531901313252,0.1390644753476612,5,5,1,385.0,1.0,0
1,2025.0,2,0.1024814306064306,0.1322115384615384,5,5,0,405.0,1.0,0
1,1998.0,2,0.1046270030854981,0.1348039215686274,5,5,0,399.6,1.0,0
1,2008.0,2,0.1040002820070342,0.134886572654813,5,5,0,401.6,1.0,0
1,2078.0,2,0.1005225056648814,0.1270207852193995,5,5,0,415.6,1.0,0
1,2038.0,2,0.1022388456265079,0.130874479476502,5,5,0,407.6,1.0,0
1,1997.0,2,0.1036610048737835,0.1344743276283618,5,5,0,399.4,1.0,0
1,1997.0,2,0.1041580414844959,0.1346389228886169,5,5,0,399.4,1.0,0
0,2014.0,2,0.1024141049075932,0.1320528211284513,5,5,1,402.8,1.0,0
1,2006.0,2,0.1035087010974746,0.1334141904184354,5,5,0,401.2,1.0,0
1,2031.0,2,0.1024261458388782,0.1320528211284513,5,5,0,406.2,1.0,0
1,2104.0,3,0.1429798276601599,0.2031690555695226,5,5,0,420.8,1.0,0
1,1967.0,2,0.1050880108473679,0.1373283395755306,5,5,0,393.4,1.0,0
1,2019.0,2,0.1020329572090702,0.1320528211284513,5,5,0,403.8,1.0,0
1,2002.0,2,0.1039879643027494,0.1335761991499696,5,5,0,400.4,1.0,0
1,2057.0,2,0.1010536882981455,0.1292596944770857,5,5,0,411.4,1.0,0
1,2015.0,2,0.102867671954323,0.1321321321321321,5,5,0,403.0,1.0,0
1,1957.0,2,0.1054904168584047,0.1373283395755306,5,5,0,391.4,1.0,0
1,2009.0,2,0.1035210175653087,0.1334141904184354,5,5,0,401.8,1.0,0
1,2077.0,3,0.0681352758761921,0.1303317535545023,5,5,0,415.4,1.0,0
1,2031.0,2,0.1022780809703285,0.1322115384615384,5,5,0,406.2,1.0,0
1,2023.0,2,0.1028280164524826,0.1320528211284513,5,5,0,404.6,1.0,0
1,2028.0,2,0.1023436351082648,0.1318154583582984,5,5,0,405.6,1.0,0
1,2062.0,2,0.1012978790756568,0.1293356848912404,5,5,0,412.4,1.0,0
1,2009.0,2,0.1036787797218483,0.1333333333333333,5,5,0,401.8,1.0,0
1,2028.0,2,0.1019102031847183,0.1317365269461078,5,5,0,405.6,1.0,0
1,2044.0,2,0.1024104483702827,0.1307966706302021,5,5,0,408.8,1.0,0
1,2036.0,2,0.1020249621467895,0.1316576900059844,5,5,0,407.2,1.0,0
1,2060.0,2,0.1011261976035063,0.1292596944770857,5,5,0,412.0,1.0,0
1,1962.0,2,0.1053370947187312,0.1374141161773891,5,5,0,392.4,1.0,0
0,2231.0,2,0.0954481227255001,0.1168969181721572,6,6,2,371.8333333333333,1.0,0
1,2043.0,2,0.1023452359347005,0.1306413301662707,5,5,0,408.6,1.0,0
1,2058.0,2,0.1015056657229411,0.128130460104834,5,5,0,411.6,1.0,0
1,1992.0,2,0.1044140738394954,0.1348039215686274,5,5,0,398.4,1.0,0
1,1970.0,2,0.1041062195062648,0.1362229102167182,5,5,0,394.0,1.0,0
0,1949.0,2,0.1060054448780149,0.1375859912445278,4,4,1,487.25,1.0,0
0,2014.0,3,0.1465849647249503,0.2045948033279052,5,5,1,402.8,1.0,0
1,2035.0,3,0.0686491005065549,0.1331719128329297,5,5,0,407.0,1.0,0
1,2099.0,2,0.098887846158912,0.1257861635220125,5,5,0,419.8,1.0,0
1,2011.0,2,0.1030385236194073,0.1320528211284513,5,5,0,402.2,1.0,0
1,2045.0,3,0.7212896028454687,1.9436506316151,5,5,0,409.0,1.0,0
1,1963.0,2,0.105817566473829,0.1375859912445278,5,5,0,392.6,1.0,0
0,2350.0,2,0.0922418641991029,0.1108312342569269,6,6,1,391.6666666666667,1.0,0
1,2022.0,2,0.1025377658091858,0.1318154583582984,5,5,0,404.4,1.0,0
1,2087.0,2,0.1004265981920591,0.1279813845258871,5,5,0,417.4,1.0,0
1,2006.0,2,0.1018536704273658,0.1331719128329297,5,5,0,401.2,1.0,0
1,1964.0,2,0.1058051086774456,0.1375859912445278,5,5,0,392.8,1.0,0
1,2013.0,2,0.1030385236194073,0.1320528211284513,5,5,0,402.6,1.0,0
1,2012.0,2,0.1014417357413023,0.1320528211284513,5,5,0,402.4,1.0,0
1,2031.0,2,0.1017980705897536,0.1307966706302021,5,5,0,406.2,1.0,0
0,2210.0,2,0.0965234731632309,0.119047619047619,6,6,2,368.3333333333333,1.0,0
1,1958.0,3,0.146923500737445,0.2038794368827028,5,5,0,391.6,1.0,0
1,2015.0,2,0.1028403329203167,0.1320528211284513,5,5,0,403.0,1.0,0
1,2035.0,2,0.1021876329739639,0.1307966706302021,5,5,0,407.0,1.0,0
1,2066.0,2,0.1000472301693646,0.1297169811320754,5,5,0,413.2,1.0,0
1,2017.0,2,0.1032514528654101,0.1320528211284513,5,5,0,403.4,1.0,0
1,2070.0,3,1.6180744263285023,4.782608695652174,5,5,0,414.0,1.0,0
1,2010.0,2,0.1037472364549554,0.1334951456310679,5,5,0,402.0,1.0,0
1,1970.0,2,0.1044871164840205,0.1362229102167182,5,5,0,394.0,1.0,0
1,1994.0,2,0.1035368704743968,0.1334951456310679,5,5,0,398.8,1.0,0
1,2005.0,3,0.1457500512967621,0.2038794368827028,5,5,0,401.0,1.0,0
1,2051.0,2,0.1017436306788564,0.1294879340788699,5,5,0,410.2,1.0,0
1,2004.0,2,0.1037192082643994,0.1334141904184354,5,5,0,400.8,1.0,0
1,1972.0,3,0.1462321404337812,0.2038794368827028,5,5,0,394.4,1.0,0
1,2050.0,2,0.1015713942430796,0.1295641931684334,5,5,0,410.0,1.0,0
1,1993.0,2,0.103598077928111,0.1348039215686274,5,5,0,398.6,1.0,0
1,2017.0,2,0.1024537604094335,0.1321321321321321,5,5,0,403.4,1.0,0
1,1991.0,2,0.1041622917425129,0.1347213717085119,5,5,0,398.2,1.0,0
1,1964.0,2,0.1046871498068581,0.1361386138613861,5,5,0,392.8,1.0,0
1,2009.0,2,0.1021224203862943,0.1334141904184354,5,5,0,401.8,1.0,0
1,2019.0,2,0.1023865379141246,0.1319736052789442,5,5,0,403.8,1.0,0
0,2037.0,2,0.102758650452181,0.1318154583582984,5,5,1,407.4,1.0,0
1,2018.0,2,0.1030781791212477,0.1321321321321321,5,5,0,403.6,1.0,0
1,2105.0,2,0.0995103720609196,0.125858123569794,5,5,0,421.0,1.0,0
0,2025.0,2,0.1016513054760759,0.1331719128329297,5,5,1,405.0,1.0,0
1,2135.0,2,0.0984490786281067,0.1244343891402715,5,5,0,427.0,1.0,0
1,2026.0,2,0.1011667687908496,0.130718954248366,5,5,0,405.2,1.0,0
1,2011.0,2,0.1030385236194073,0.1320528211284513,5,5,0,402.2,1.0,0
1,2012.0,2,0.1023752881870844,0.1335761991499696,5,5,0,402.4,1.0,0
1,2035.0,2,0.1019119357398289,0.1305637982195845,5,5,0,407.0,1.0,0
1,1973.0,2,0.105281756186444,0.1361386138613861,5,5,0,394.6,1.0,0
1,2016.0,2,0.102858171156699,0.1332525741974561,5,5,0,403.2,1.0,0
1,2010.0,3,0.145722640274919,0.2031690555695226,5,5,0,402.0,1.0,0
1,2059.0,2,0.1013374467466871,0.1294879340788699,5,5,0,411.8,1.0,0
0,2019.0,2,0.1030385236194073,0.1320528211284513,5,5,1,403.8,1.0,0
0,1952.0,2,0.1059991111432227,0.1387137452711223,5,5,1,390.4,1.0,0
1,2006.0,2,0.1031352671589014,0.1334951456310679,5,5,0,401.2,1.0,0
1,2036.0,2,0.1017980705897536,0.1307966706302021,5,5,0,407.2,1.0,0
1,2045.0,2,0.1011577579598781,0.1295641931684334,5,5,0,409.0,1.0,0
1,2016.0,2,0.1020608304639718,0.1321321321321321,5,5,0,403.2,1.0,0
0,1988.0,2,0.1041912584431766,0.1348039215686274,5,5,2,397.6,1.0,0
1,2128.0,2,0.0987985048461583,0.1244343891402715,5,5,0,425.6,1.0,0
1,2009.0,2,0.1037690898183821,0.1334141904184354,5,5,0,401.8,1.0,0
1,2006.0,2,0.1033288830915565,0.1334951456310679,5,5,0,401.2,1.0,0
1,2015.0,2,0.1024261458388782,0.1320528211284513,5,5,0,403.0,1.0,0
1,1992.0,2,0.1043727989094376,0.1347213717085119,5,5,0,398.4,1.0,0
1,2037.0,2,0.1027858222464225,0.13189448441247,5,5,0,407.4,1.0,0
0,1959.0,2,0.105386475329516,0.1375859912445278,5,5,1,391.8,1.0,0
1,2018.0,2,0.1032159930465015,0.1331719128329297,5,5,0,403.6,1.0,0
1,2044.0,2,0.1015198047090322,0.1294117647058823,5,5,0,408.8,1.0,0
1,2026.0,3,0.1450853884691922,0.2031690555695226,5,5,0,405.2,1.0,0
1,2081.0,2,0.0998734802256046,0.1269474899019042,5,5,0,416.2,1.0,0
1,1935.0,3,0.1458315022155364,0.2024636074599062,5,5,0,387.0,1.0,0
1,2018.0,2,0.1022502765923818,0.1321321321321321,5,5,0,403.6,1.0,0
1,2020.0,2,0.1038362103954693,0.1331719128329297,5,5,0,404.0,1.0,0
1,2017.0,2,0.1033410525227861,0.1334951456310679,5,5,0,403.4,1.0,0
1,2092.0,2,0.1004500879889501,0.1268011527377521,5,5,0,418.4,1.0,0
1,1990.0,2,0.1042202839870521,0.134886572654813,5,5,0,398.0,1.0,0
1,2022.0,2,0.1028462410006049,0.1332525741974561,5,5,0,404.4,1.0,0
1,1966.0,2,0.1055027498279528,0.1373283395755306,5,5,0,393.2,1.0,0
0,2250.0,2,0.0951630763286286,0.1166489925768822,6,6,1,375.0,1.0,0
1,2069.0,2,0.1013237252291062,0.1294117647058823,5,5,0,413.8,1.0,0
1,2030.0,3,0.7450098207954124,2.0106730671880344,5,5,0,406.0,1.0,0
1,2008.0,2,0.1021452395391146,0.1334141904184354,5,5,0,401.6,1.0,0
1,1960.0,3,0.1473733913421648,0.2053152075649753,5,5,0,392.0,1.0,0
1,2168.0,3,0.0653265872342401,0.1231802911534154,5,5,0,433.6,1.0,0
1,2044.0,2,0.1019363476269532,0.1305637982195845,5,5,0,408.8,1.0,0
1,2018.0,3,0.145088931742507,0.2038794368827028,5,5,0,403.6,1.0,0
